file,width,height,fps,nb_frames,rotation,display_w,display_h,error
videos\G2\P02\20260802\G2_P02_20260802_own_001.mp4,1920,1080,29.71,78,-90,1080,1920,
videos\G2\P02\20260802\G2_P02_20260802_own_002.mp4,1920,1080,30.131,64,90,1080,1920,
videos\G2\P02\20260802\G2_P02_20260802_own_003.mp4,1920,1080,29.881,50,90,1080,1920,
videos\G2\P02\20260802\G2_P02_20260802_own_004.mp4,1920,1080,29.646,58,90,1080,1920,
videos\G2\P02\20260802\G2_P02_20260802_own_005.mp4,1920,1080,29.827,58,90,1080,1920,
videos\G2\P02\20260803\G2_P02_20260803_own_001.mp4,1920,1080,29.697,68,90,1080,1920,
videos\G2\P02\20260803\G2_P02_20260803_own_002.mp4,1920,1080,30.008,62,90,1080,1920,
videos\G2\P02\20260803\G2_P02_20260803_own_003.mp4,1920,1080,30.004,76,90,1080,1920,
videos\G2\P02\20260803\G2_P02_20260803_own_004.mp4,1920,1080,29.732,55,90,1080,1920,
videos\G2\P02\20260803\G2_P02_20260803_own_005.mp4,1920,1080,29.665,74,90,1080,1920,
videos\G2\P02\20260804\G2_P02_20260804_own_001.mp4,1920,1080,29.661,70,90,1080,1920,
videos\G2\P02\20260804\G2_P02_20260804_own_002.mp4,1920,1080,29.779,63,90,1080,1920,
videos\G2\P02\20260804\G2_P02_20260804_own_003.mp4,1920,1080,29.612,54,90,1080,1920,
videos\G2\P02\20260804\G2_P02_20260804_own_004.mp4,1920,1080,30.413,49,90,1080,1920,
videos\G2\P02\20260804\G2_P02_20260804_own_005.mp4,1920,1080,29.825,63,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_001.mp4,1920,1080,29.823,121,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_002.mp4,1920,1080,29.941,98,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_003.mp4,1920,1080,29.643,95,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_004.mp4,1920,1080,29.934,109,90,1080,1920,
