target_user,registered_gesture,category,sample_index,performer,performed_gesture,session,role,hand,imitation_target,gesture_score,user_score,gesture_pass,user_pass,accepted
P08,G5,same_gesture_impostor,1887,P09,G5,20260819,impA,R,P05,0.9654855319108291,0.4648808394295933,1,0,0
P08,G5,same_gesture_impostor,1888,P09,G5,20260819,impA,R,P05,0.9707287100264773,0.32056442792439305,1,0,0
P08,G5,same_gesture_impostor,1889,P09,G5,20260820,impA,R,P05,0.9881959455337528,0.22826643629085408,1,0,0
P08,G5,same_gesture_impostor,1890,P09,G5,20260820,impA,R,P05,0.9815092529176614,0.18770463225033862,1,0,0
P08,G5,same_gesture_impostor,1891,P09,G5,20260820,impA,R,P05,0.9879795577609173,0.2611301348187987,1,0,0
P08,G5,same_gesture_impostor,1892,P09,G5,20260820,impA,R,P05,0.9767585108633448,0.1327883286705293,1,0,0
P08,G5,same_gesture_impostor,1893,P09,G5,20260821,impA,R,P05,0.9844138989877729,-0.013516166464813857,1,0,0
P08,G5,same_gesture_impostor,1894,P09,G5,20260821,impA,R,P05,0.98274678731355,-0.017125639113733385,1,0,0
P08,G5,same_gesture_impostor,1895,P09,G5,20260821,impA,R,P05,0.9785464739913527,0.00308279493202376,1,0,0
P08,G5,same_gesture_impostor,1896,P09,G5,20260821,impA,R,P05,0.9850076259039171,-0.010466450855493102,1,0,0
P08,G5,same_gesture_impostor,1897,P10,G5,20260815,impA,L,P05,0.9599936862446743,0.5511622083661372,1,0,0
P08,G5,same_gesture_impostor,1898,P10,G5,20260815,impA,L,P05,0.9758754613964845,0.3734600449575808,1,0,0
P08,G5,same_gesture_impostor,1899,P10,G5,20260815,impA,L,P05,0.9735311809311541,0.6105359427036554,1,0,0
P08,G5,same_gesture_impostor,1900,P10,G5,20260815,impA,L,P05,0.9569094755690368,0.5554698033856171,1,0,0
P08,G5,same_gesture_impostor,1901,P10,G5,20260817,impA,L,P05,0.9683096299372678,0.46684504081191314,1,0,0
P08,G5,same_gesture_impostor,1902,P10,G5,20260817,impA,L,P05,0.9689819554250083,0.5361244028846435,1,0,0
P08,G5,same_gesture_impostor,1903,P10,G5,20260817,impA,L,P05,0.9538144132673939,0.23724359288165311,1,0,0
P08,G5,same_gesture_impostor,1904,P10,G5,20260817,impA,L,P05,0.9686904851061179,0.48161183532466084,1,0,0
P08,G5,same_gesture_impostor,1905,P10,G5,20260818,impA,L,P05,0.9528918665717139,0.5837193899170188,1,0,0
P08,G5,same_gesture_impostor,1906,P10,G5,20260818,impA,L,P05,0.9555661180733775,0.5227878215375392,1,0,0
P08,G5,same_gesture_impostor,1907,P10,G5,20260818,impA,L,P05,0.9556494030798677,0.39997617464910684,1,0,0
P08,G5,same_gesture_impostor,1908,P10,G5,20260818,impA,L,P05,0.9804238509800483,0.6921668928098244,1,0,0
P08,G5,same_gesture_impostor,1909,P10,G5,20260819,impA,L,P05,0.9593992097804357,0.8688893139933898,1,1,1
